x,y,z,date
0.02,0.93,0.19,2018-12-11 10:52:11.231915
0.04,0.91,0.13,2018-12-11 10:52:11.250537
0.02,0.95,0.12,2018-12-11 10:52:11.265944
0.03,1.01,0.05,2018-12-11 10:52:11.284334
0.03,1.02,0.06,2018-12-11 10:52:11.299676
0.03,1.06,0.05,2018-12-11 10:52:11.318120
0.01,1.09,0.07,2018-12-11 10:52:11.337270
0.01,1.07,0.06,2018-12-11 10:52:11.358881
0.01,1.1,0.03,2018-12-11 10:52:11.380384
0.02,1.04,0.05,2018-12-11 10:52:11.402251
0.03,1.02,0.06,2018-12-11 10:52:11.424376
0.06,0.96,0.11,2018-12-11 10:52:11.446149
0.1,0.88,0.14,2018-12-11 10:52:11.468001
0.11,0.86,0.12,2018-12-11 10:52:11.489876
0.13,0.88,0.0,2018-12-11 10:52:11.511491
0.19,0.89,0.02,2018-12-11 10:52:11.533471
0.31,0.88,0.04,2018-12-11 10:52:11.555322
0.3,0.59,0.04,2018-12-11 10:52:11.576776
0.88,0.32,0.53,2018-12-11 10:52:11.598506
1.87,0.06,0.73,2018-12-11 10:52:11.619615
1.98,0.16,0.85,2018-12-11 10:52:11.641378
1.0,0.39,0.75,2018-12-11 10:52:11.663523
2.23,1.69,2.39,2018-12-11 10:52:11.685080
2.76,1.63,0.58,2018-12-11 10:52:11.706399
3.41,1.66,0.95,2018-12-11 10:52:11.728864
2.35,0.42,0.45,2018-12-11 10:52:11.755903
0.96,0.97,0.08,2018-12-11 10:52:11.777537
0.52,1.02,0.21,2018-12-11 10:52:11.799345
0.14,0.87,0.22,2018-12-11 10:52:11.820436
0.46,0.93,0.14,2018-12-11 10:52:11.841543
0.34,0.97,0.09,2018-12-11 10:52:11.862891
0.24,0.89,0.11,2018-12-11 10:52:11.885654
0.18,0.77,0.12,2018-12-11 10:52:11.907649
0.12,0.79,0.04,2018-12-11 10:52:11.929406
0.17,0.87,0.02,2018-12-11 10:52:11.951749
0.11,1.04,0.1,2018-12-11 10:52:11.973603
0.04,1.07,0.08,2018-12-11 10:52:11.995381
0.02,1.01,0.05,2018-12-11 10:52:12.017152
0.0,0.97,0.05,2018-12-11 10:52:12.038874
0.05,0.93,0.09,2018-12-11 10:52:12.060459
0.11,0.99,0.08,2018-12-11 10:52:12.082296
0.08,0.98,0.03,2018-12-11 10:52:12.104403
0.08,1.01,0.0,2018-12-11 10:52:12.126190
0.07,1.03,0.02,2018-12-11 10:52:12.148038
0.13,1.02,0.02,2018-12-11 10:52:12.169806
0.13,1.01,0.01,2018-12-11 10:52:12.191744
0.19,0.99,0.01,2018-12-11 10:52:12.213868
0.23,0.96,0.0,2018-12-11 10:52:12.235586
0.23,0.96,0.01,2018-12-11 10:52:12.257325
0.24,0.92,0.01,2018-12-11 10:52:12.279178
0.27,0.85,0.01,2018-12-11 10:52:12.300681
0.34,0.73,0.01,2018-12-11 10:52:12.322214
0.63,0.56,0.21,2018-12-11 10:52:12.343958
1.45,0.43,0.48,2018-12-11 10:52:12.365620
2.8,0.33,0.73,2018-12-11 10:52:12.387350
1.77,0.97,0.76,2018-12-11 10:52:12.409183
0.31,1.0,0.43,2018-12-11 10:52:12.431061
2.66,1.09,2.17,2018-12-11 10:52:12.454495
4.33,0.88,0.78,2018-12-11 10:52:12.476271
4.35,0.84,0.24,2018-12-11 10:52:12.498119
2.6,0.09,0.27,2018-12-11 10:52:12.519939
1.38,0.71,0.17,2018-12-11 10:52:12.541851
0.57,0.85,0.1,2018-12-11 10:52:12.564156
0.11,0.88,0.16,2018-12-11 10:52:12.585828
0.43,0.78,0.16,2018-12-11 10:52:12.607270
0.5,0.78,0.07,2018-12-11 10:52:12.628883
0.4,0.78,0.05,2018-12-11 10:52:12.650702
0.25,0.71,0.14,2018-12-11 10:52:12.672624
0.32,0.79,0.09,2018-12-11 10:52:12.694662
0.32,0.85,0.0,2018-12-11 10:52:12.716156
0.36,0.92,0.03,2018-12-11 10:52:12.737703
0.37,0.94,0.0,2018-12-11 10:52:12.759400
0.25,0.95,0.04,2018-12-11 10:52:12.781091
0.23,0.98,0.07,2018-12-11 10:52:12.803055
0.23,0.91,0.1,2018-12-11 10:52:12.824782
0.25,0.92,0.1,2018-12-11 10:52:12.846935
0.16,0.93,0.05,2018-12-11 10:52:12.868636
0.15,0.98,0.05,2018-12-11 10:52:12.890465
0.14,1.06,0.02,2018-12-11 10:52:12.911538
0.21,1.1,0.0,2018-12-11 10:52:12.934261
0.23,1.01,0.05,2018-12-11 10:52:12.955798
0.21,0.99,0.05,2018-12-11 10:52:12.977643
0.2,0.99,0.04,2018-12-11 10:52:12.999574
0.22,0.93,0.08,2018-12-11 10:52:13.021120
0.3,0.83,0.1,2018-12-11 10:52:13.042879
